"Normal10(mu=0,sigma=1)","Normal100(mu=0,sigma=1)","Normal1000(mu=0,sigma=1)","t10(df=1,ncp=0)","t100(df=1,ncp=0)","t1000(df=1,ncp=0)","F10(df1=5,df2=5,ncp=0)","F100(df1=5,df2=5,ncp=0)","F1000(df1=5,df2=5,ncp=0)","Chisq10(df=5,ncp=0)","Chisq100(df=5,ncp=0)","Chisq1000(df=5,ncp=0)","Beta10(alpha=1,beta=1)","Beta100(alpha=1,beta=1)","Beta1000(alpha=1,beta=1)","Gamma10(shape=1,scale=1)","Gamma100(shape=1,scale=1)","Gamma1000(shape=1,scale=1)","InvGamma10(shape=1,scale=1)","InvGamma100(shape=1,scale=1)","InvGamma1000(shape=1,scale=1)",Exp10(rate=1),Exp100(rate=1),Exp1000(rate=1),Bern10(p=0.5),Bern100(p=0.5),Bern1000(p=0.5),"Binom10(p=0.5,n=10)","Binom100(p=0.5,n=10)","Binom1000(p=0.5,n=10)","NBinom10(nsuccess=1,p=0.5)","NBinom100(nsuccess=1,p=0.5)","NBinom1000(nsuccess=1,p=0.5)",Pois10(lambda=1),Pois100(lambda=1),Pois1000(lambda=1),bla
-0.626454,1.51178,-0.635736,0.0580285,-1.04623,0.637162,0.477872,0.92,0.652463,6.0197,2.42442,1.52103,0.792053,0.0418017,0.0659042,1.23132,1.13104,1.20533,1.09718,0.451519,1.54755,1.68362,0.0448683,0.0341872,0,1,0,6,6,4,0,0,0,0,1,0,""
0.183643,0.389843,-0.461645,0.282877,3.05252,0.929487,0.400513,0.657646,2.17094,12.9557,2.36859,4.26031,0.743873,0.253579,0.417754,0.190693,0.351414,0.159854,4.11925,0.845061,1.01793,0.301139,0.359165,1.1339,1,1,1,4,5,4,0,0,3,1,0,0,""
-0.835629,-0.621241,1.43228,-1.11597,2.54156,1.17013,4.04411,1.66004,1.1266,8.12127,2.27062,10.0147,0.226405,0.553083,0.741506,0.0620852,0.805745,0.949435,0.652423,0.673885,0.58235,0.249408,0.238061,0.29731,0,1,1,7,6,5,1,2,2,0,0,1,""
1.59528,-2.2147,-0.650696,-1.47085,2.42629,-0.879578,1.1438,0.145481,0.311512,2.39143,2.96899,3.5061,0.228567,0.84595,0.838124,0.707093,2.85576,0.0212038,0.373961,0.880361,0.669389,0.808091,0.732779,0.921824,0,1,0,5,6,5,0,2,1,2,2,2,""
0.329508,1.12493,-0.207381,-1.26023,2.59518,0.398246,2.01268,3.47758,0.303561,2.51663,7.01453,4.82376,0.389821,0.5539,0.287454,0.749522,0.0988921,2.0733,0.95395,4.84777,0.370966,0.137576,0.850514,0.0533821,0,0,0,8,8,4,2,0,0,0,1,0,""
-0.820468,-0.0449336,-0.392808,-0.180136,-0.294343,0.564424,0.410797,1.13114,0.883351,7.06337,12.3597,2.14732,0.826204,0.486005,0.415292,0.642444,2.08257,0.403852,0.797863,3.84797,1.55003,0.0712345,0.20302,0.460288,1,1,1,5,6,5,3,0,0,2,2,3,""
0.487429,-0.0161903,-0.319993,-1.48188,-9.08547,0.660946,2.25984,0.364922,1.47875,5.31325,8.86789,5.50445,0.313342,0.718396,0.0852703,0.501311,0.883865,0.567436,3.60362,46.4535,12.705,0.0578965,1.11817,0.168285,1,0,1,7,4,7,0,2,1,1,0,0,""
0.738325,0.943836,-0.279113,7.15055,-1.33571,0.0144001,0.619441,1.43035,1.03777,2.96128,5.77097,15.2877,0.944809,0.707887,0.962378,6.23557,0.54988,0.615531,1.09196,4.78168,0.264816,0.264697,2.75583,0.528055,0,0,1,5,6,3,0,1,5,1,3,0,""
0.575781,0.821221,0.494188,-19.1463,-0.162641,-0.0443428,2.07394,0.631479,1.67291,3.0069,2.25912,0.948355,0.721335,0.442777,0.0944189,0.206472,0.153452,2.2666,3.73779,2.90658,0.403217,0.0922181,2.02584,1.67562,1,0,1,3,6,4,0,0,1,5,1,4,""
-0.305388,0.593901,-0.17733,1.61964,-0.781865,167.89,0.389485,2.52138,0.19172,2.84731,5.87259,3.78473,0.563277,0.837313,0.29218,0.546135,0.199385,0.192299,0.855846,0.699074,0.290419,2.30749,1.84391,1.86673,0,1,1,3,7,5,0,1,2,4,1,0,""
